	Kingdom	Phyllum	Class	Order	Family	Genus	Species
ZOTU15177	 k__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 g__Pedosphaeraceae	 s__
ZOTU9349	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Salinisphaerales	 f__Solimonadaceae	 g__Nevskia	 s__
ZOTU1134	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Cellvibrionales	 f__Halieaceae	 g__OM60	 s___clade
ZOTU9676	 k__Bacteria	 p__Cyanobacteria	 c__Cyanobacteriia	 o__Chloroplast	 f__Chloroplast	 g__Chloroplast	 s__Pseudochloris_wilhelmii
ZOTU10206	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__env.OPS_17	 g__env.OPS_17	 s__metagenome
ZOTU4850	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Nannocystales	 f__Nannocystaceae	 g__Nannocystis	 s__uncultured_Myxococcales
ZOTU3087	 k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__env.OPS_17	 g__env.OPS_17	 s__metagenome
ZOTU8479	 k__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Polyangiaceae	 g__Pajaroellobacter	 s__
ZOTU17169	 k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Steroidobacterales	 f__Steroidobacteraceae	 g__Steroidobacter	 s__
ZOTU4465	 k__Bacteria	 p__Acidobacteriota	 c__Acidobacteriae	 o__Acidobacteriales	 f__Acidobacteriaceae_	 g__1.0000	 s__0.9800
ZOTU138	 k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__Rubinisphaeraceae	 g__SH-PL14	 s__uncultured_bacterium
