	SID	Adult	Side	GruopID	Posit_ctrl	Neg_ctrl	Test	biol_fath	biol_moth	fost_fath	fost_moth	MaleID	FemaleID	S1	S2	S3	S4	S5	S6	S9	S10	S12	S15	S16	S17	S18	S19	S23	S24	S26	S28	S29	S34	S35	S37	S39	S40	S42	S43	S48	S49	S50	S52	Set1	Set2	Set3	Set4	date
S458a	d	no	no	TP	1	0	0	682	742	682	742	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	23/6/2022
S458b	d	no	no	TP	1	0	0	682	742	682	742	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	23/6/2022
S459a	d	no	no	TP	1	0	0	682	742	682	742	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	23/6/2022
S459b	d	no	no	TP	1	0	0	682	742	682	742	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	23/6/2022
S461a	d	no	no	TP	1	0	0	682	742	682	742	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	23/6/2022
S461b	d	no	no	TP	1	0	0	682	742	682	742	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	23/6/2022
S463	S	no	no	TP	0	0	1	750	417	678	999	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	52	52	52	no
S464a	d	no	no	TP	0	0	1	750	417	678	999	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	52	52	52	no
S464b	d	no	no	TP	0	0	1	750	417	678	999	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	52	52	52	52	no
S467	S	no	no	METAMORPH	1	0	0	684	685	684	685	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	43	43	43	43	27/6/2022
S468	S	no	no	METAMORPH	0	1	0	605	679	605	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	40	40	40	27/6/2022
S469	S	no	no	METAMORPH	0	1	0	605	679	605	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	40	40	40	40	27/6/2022
S472a	d	no	no	METAMORPH	1	0	0	684	685	684	685	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	43	43	43	43	27/6/2022
S472b	d	no	no	METAMORPH	1	0	0	684	685	684	685	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	43	43	43	43	27/6/2022
S473a	d	no	no	METAMORPH	0	0	1	235	758	678	729	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	48	48	48	48	27/6/2022
S473b	d	no	no	METAMORPH	0	0	1	235	758	678	729	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	48	48	48	48	27/6/2022
S474	S	no	no	METAMORPH	0	1	0	658	663	658	663	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	35	35	35	no
S475	S	no	no	METAMORPH	0	1	0	657	661	657	661	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	30/6/2022
S476	S	no	no	METAMORPH	0	1	0	657	661	657	661	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	42	42	42	42	30/6/2022
S477a	d	no	no	TP	0	0	1	657	661	602	777	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	50	50	50	50	no
S477b	d	no	no	TP	0	0	1	657	661	602	777	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	50	50	50	50	no
S478	S	no	no	METAMORPH	0	0	1	754	742	422	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	no
S482	S	no	no	METAMORPH	0	0	1	730	742	675	679	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	39	39	39	39	9/7/2022
S486a	d	no	no	METAMORPH	1	0	0	682	742	682	742	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	13/7/2022
S486b	d	no	no	METAMORPH	1	0	0	682	742	682	742	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37	37	37	37	no
S494	S	no	no	METAMORPH	0	0	1	754	742	422	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	no
S496	S	no	no	METAMORPH	0	0	1	754	742	422	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	no
S497	S	no	no	METAMORPH	0	1	0	658	663	658	663	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	35	35	35	no
S498	S	no	no	METAMORPH	0	1	0	658	663	658	663	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	35	35	35	35	no
S500	S	no	no	METAMORPH	0	0	1	754	742	422	736	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	29	29	29	29	22/7/2022
S501	S	no	no	METAMORPH	0	0	1	605	679	658	888	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	49	49	49	49	no
